,Q1,,q1,q2,q3,q4,setA,setB,SetN,Active,,,Set A,Set B
825,4,1,T,F,F,F,F,F,T,,N,N,,
826,2,1,T,F,F,F,F,F,T,,N,N,,
827,17,1,T,F,F,F,F,F,T,,N,N,,
835,7,1,T,F,F,F,F,T,F,,N,N,,
837,23,1,T,F,F,F,F,T,F,,N,N,,
838,10,1,T,F,F,F,F,T,F,,N,N,,
839,12,1,T,F,F,F,T,F,F,,Y,N,,
841,7,1,T,F,F,F,F,F,T,,N,N,,
842,90,1,T,F,F,F,T,F,F,,Y,N,,
844,1,1,T,F,F,F,F,F,T,,N,N,,
845,4,1,T,F,F,F,F,T,F,,N,N,,
846,0,1,T,F,F,F,F,T,F,,N,N,,
847,1,1,T,F,F,F,T,F,F,,Y,N,,
848,3,1,T,F,F,F,F,T,F,,N,N,,
850,5,1,T,F,F,F,F,F,T,,N,N,,
851,16,1,T,F,F,F,T,F,F,,Y,N,,
853,238,1,T,F,F,F,T,F,F,,Y,N,,
856,53,1,T,F,F,F,T,F,F,,Y,N,,
857,2,1,T,F,F,F,F,T,F,,N,N,,
858,20,1,T,F,F,F,T,F,F,,Y,N,,
859,4,1,T,F,F,F,F,T,F,,N,N,,
860,8,1,T,F,F,F,F,T,F,,N,N,,
861,9,1,T,F,F,F,F,T,F,,N,N,,
862,1,1,T,F,F,F,F,T,F,,N,N,,
863,44,1,T,F,F,F,T,F,F,,Y,N,,
864,0,1,T,F,F,F,F,F,T,,N,N,,
865,10,1,T,F,F,F,F,T,F,,N,N,,
866,9,1,T,F,F,F,F,T,F,,N,N,,
867,15,1,T,F,F,F,F,T,F,,N,N,,
868,1,1,T,F,F,F,F,F,T,,N,N,,
869,0,1,T,F,F,F,F,F,T,,N,N,,
871,0,1,T,F,F,F,F,F,T,,N,N,,
872,0,1,T,F,F,F,F,F,T,,N,N,,
873,0,1,T,F,F,F,F,F,T,,N,N,,
875,20,1,T,F,F,F,T,F,F,,Y,N,,
876,27,1,T,F,F,F,T,F,F,,Y,N,,
877,2,1,T,F,F,F,F,T,F,,N,N,,
878,1,1,T,F,F,F,F,T,F,,N,N,,
879,1,1,T,F,F,F,F,F,T,,N,N,,
880,13,1,T,F,F,F,F,T,F,,N,N,,
882,1,1,T,F,F,F,F,F,T,,N,N,,
883,0,1,T,F,F,F,F,F,T,,N,N,,
884,0,1,T,F,F,F,F,F,T,,N,N,,
885,1,1,T,F,F,F,F,F,T,,N,N,,
887,0,1,T,F,F,F,F,F,T,,N,N,,
888,0,1,T,F,F,F,F,F,T,,N,N,,
892,2,1,T,F,F,F,F,F,T,,N,N,,
894,11,1,T,F,F,F,F,T,F,,N,N,,
895,15,1,T,F,F,F,T,F,F,,Y,N,,
896,3,1,T,F,F,F,F,T,F,,N,N,,
897,132,1,T,F,F,F,T,F,F,,Y,N,,
898,21,1,T,F,F,F,F,T,F,,N,N,,
899,42,1,T,F,F,F,F,T,F,,N,N,,
900,24,1,T,F,F,F,T,F,F,,Y,N,,
901,13,1,T,F,F,F,F,T,F,,N,N,,
902,20,1,T,F,F,F,F,F,T,,N,N,,
905,68,1,T,F,F,F,T,F,F,,Y,N,,
906,11,1,T,F,F,F,F,T,F,,N,N,,
